"id_immi";"jahr";"strname";"von_krz";"bis_krz";"no2_i1";"pm10_ist";"aend";"kattime";"laenge";"sta_id";"eskn_id";"shape"
13087;2013;"Wiener Platz ";"Abzweig/Anliegertunnel ";"Abzweig/Tunnelausfahrt";32.6;25.8;2015-11-16 11:17:24;71;262.80886;"00005020";71;"SRID=4326;LINESTRING(13.73091240885424291207 51.04231254652587779219,13.73093691216886114148 51.04230485391975946641,13.73094272530894421891 51.04230301954884652105,13.73182938679014597483 51.04202462076190727203,13.73261850288787577767 51.04178306243126428399,13.73304196433521084941 51.04165342639135616309,13.734242574370297163 51.0412296792733641837)"
1256;2013;"Münchner Straße ";"Fritz-Löffler-Platz ";"Eisenstuckstr.";30.3;25.4;2015-11-16 11:17:24;10775;99.33391;"12049010";10775;"SRID=4326;LINESTRING(13.73017092684729512087 51.03281516330530820369,13.73011463498487039203 51.03280576548360869538,13.72995162192786544608 51.03277858882407969077,13.72991456063663662235 51.0327700384195281913,13.72975485068089440688 51.03273316705903539514,13.72944819934545179763 51.03264991312592258055,13.72888560367229082715 51.03244942166694642083)"
21411;2013;"An der Flutrinne ";"Flößerstr. ";"ÖRW 42-Mickten";28.2;26.4;2015-11-16 11:17:24;1273;77.93018;"01044040";1273;"SRID=4326;LINESTRING(13.69288160722569713812 51.07773156044135021148,13.69260157694765922543 51.07781244002983100927,13.69209007788150600504 51.07795655700013526257,13.69186835004013147454 51.07802065001590108295)"
66;2013;"Teplitzer Straße ";"Hildebrandstr. ";"Zellescher Weg";36.4;28.4;2015-11-16 11:17:24;7877;254.911;"10004030";7877;"SRID=4326;LINESTRING(13.75325241670767617563 51.02824608510148607365,13.75341053086760112478 51.02809750072432848356,13.75360754956583164699 51.02792062579833043401,13.75385233496393944108 51.02771784783094233262,13.75409552675079183359 51.0275249625348550353,13.75451079921825048302 51.02720689540169018983,13.75495411372178011788 51.02691551077153064853,13.75550146417412378241 51.02652028544028439683,13.75555900316040158771 51.02647875753634565399)"
5506;2013;"Pfotenhauerstraße ";"Fiedlerstraße ";"Schubertstr.";26.8;25.3;2015-11-16 11:17:24;17950;375.78739;"08010080";17950;"SRID=4326;LINESTRING(13.78077679497783591955 51.05900408351082120362,13.78203902734244401529 51.05910862038412290076,13.78252687233894491214 51.05914900911525933225,13.78360531506308639393 51.05923718087560558843,13.78609362696109030821 51.05944057943173675085)"
65;2013;"Teplitzer Straße ";"Zellescher Weg ";"Heinrich-Zille-Str.";38.7;29.4;2015-11-16 11:17:24;7880;147.64941;"10004040";7880;"SRID=4326;LINESTRING(13.75555900316040158771 51.02647875753634565399,13.75567043945203948851 51.02639003330632050393,13.75623444652816651512 51.02594102453158342314,13.75692735001966582331 51.02547123489424762965)"
12133;2013;"Südhöhe ";"Brückenrampe Bergstraße ";"Kohlenstraße";28.9;23.7;2015-11-16 11:17:24;9656;39.59123;"11057060";9656;"SRID=4326;LINESTRING(13.7298224602676945949 51.01973723648202252434,13.72970598268499031747 51.01972800242914019009,13.72959261395302021924 51.01972344241451651214,13.72947654539242634542 51.01971750399190597136,13.72947567689843850758 51.01971745857595408324,13.72946872870084256135 51.01971710423854489136,13.72931515152338732833 51.01970736743495393739,13.72931263082750064086 51.01970725908442716445,13.72926063450798039867 51.01970404066532438492)"
187;2013;"Teplitzer Straße";"Strehlener Platz ";"Reichenbachstr.";27.5;24.4;2015-11-16 11:17:24;7871;302.22589;"10004010";7871;"SRID=4326;LINESTRING(13.7494306786660693831 51.03360908610968493804,13.7494430729322463236 51.03356774352820224294,13.74945571877874250788 51.03352553132690871962,13.74949013469064418302 51.03341845254271902377,13.74954815566018773154 51.03330443203856248147,13.75059150796334606071 51.03171632315189754081,13.75101047445713930983 51.0310848965183367909)"
12171;2013;"Coventrystraße ";"Reuningstr. ";"Abzweig Brückenrampen";28;23.4;2015-11-16 11:17:24;17005;753.90803;"14209100";17005;"SRID=4326;LINESTRING(13.65540922836959936149 51.04829212874911092968,13.65480020555585660702 51.04808434335930655834,13.65438692901175876671 51.04792178616598619101,13.65381297806666438532 51.04767283402831878902,13.6533556716303134948 51.04745504386075793946,13.65292048130302049458 51.04723188622855190033,13.6528941939585166665 51.04721840853788705772,13.65243499566675566825 51.0469682812505212155,13.65194006051265951385 51.04668047310933332028,13.65140269185345545111 51.04632773866942585528,13.65098377336370383262 51.04600577609637923615,13.65092691163546056998 51.04595656673929227054,13.65084065323537032555 51.0458865410207209834,13.65066848595092885432 51.04573448783503408777,13.65044164600163512091 51.04550362728868151407,13.65020196153845333242 51.04521412776984590209,13.65001613668414037761 51.0449951791412104285,13.64970049103796334578 51.04454922292141816342,13.64953235491922889366 51.04422254445633910791,13.64939745164099882402 51.04397462341169244837,13.64921221658095795704 51.04362534536361550863,13.6490692604805214927 51.04334934474238139046,13.648961061470766154 51.04314867507772390809)"
1432;2013;"Wurzener Straße ";"Dahlener Str. ";"Leipziger Str.";33.4;25.8;2015-11-16 11:17:24;1692;118.34228;"03030050";1692;"SRID=4326;LINESTRING(13.71555588728141650279 51.08062102522239911195,13.71473590557822674896 51.08051798286740563526,13.71416423684393315341 51.08045010372842398283,13.71401144241554170833 51.08043177708277937654,13.71397092683206508923 51.08043069284825321574,13.71389568722612573026 51.0804286959734241691)"
