"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
220225;"1";"LFT";0;"NO2";"2011";14.76;2013-06-25;"SRID=4326;POLYGON((13.85216203166483417419 51.0424471676510407292,13.86641300242420449251 51.0422202637213118237,13.86677439704516956454 51.05120434148572172717,13.85252072674857792833 51.05143125124372716073,13.85216203166483417419 51.0424471676510407292))"
220303;"1";"LFT";0;"NO2";"2011";21.7;2013-06-25;"SRID=4326;POLYGON((13.68309290784939946661 51.09894342862391170002,13.69736244513953060675 51.09873696635869322336,13.69769168143139914662 51.10772163843010673645,13.68341945602253595382 51.10792800957488424274,13.68309290784939946661 51.09894342862391170002))"
220096;"1";"LFT";0;"NO2";"2011";18.32;2013-06-25;"SRID=4326;POLYGON((13.78194005494330909301 51.07050876723425147929,13.79620011511092059209 51.07029040110654705131,13.79654826645057141832 51.07927469558540423122,13.78228544251199316761 51.07949320998255160475,13.78194005494330909301 51.07050876723425147929))"
220131;"1";"LFT";0;"NO2";"2011";15.06;2013-06-25;"SRID=4326;POLYGON((13.82648953529865920586 51.11476872631124024338,13.84076289049377450624 51.11454477998518086679,13.84112007159427903957 51.12352872202057341156,13.82684392917498072961 51.12375269417255907456,13.82648953529865920586 51.11476872631124024338))"
221016;"1";"LFT";0;"NO2";"2011";13.65;2013-06-25;"SRID=4326;POLYGON((13.87957268224765883247 51.01503974578677258478,13.89381496154762452022 51.01480968609651966972,13.8941811444232463657 51.02379354516676102094,13.87993616631277937756 51.02402364938014756035,13.87957268224765883247 51.01503974578677258478))"
221013;"1";"LFT";0;"NO2";"2011";18.06;2013-06-25;"SRID=4326;POLYGON((13.83684457636226916577 51.01571972400807908343,13.85108749007405926079 51.01549480754805188099,13.85144555257354426203 51.0244788289133666126,13.83719993512447210549 51.02470385567649202585,13.83684457636226916577 51.01571972400807908343))"
221014;"1";"LFT";0;"NO2";"2011";16.29;2013-06-25;"SRID=4326;POLYGON((13.85108749007405926079 51.01549480754805188099,13.86533020545978622806 51.01526814314679114659,13.86569094205469632186 51.024252092950490578,13.85144555257354426203 51.0244788289133666126,13.85108749007405926079 51.01549480754805188099))"
221015;"1";"LFT";0;"NO2";"2011";14.48;2013-06-25;"SRID=4326;POLYGON((13.86533020545978622806 51.01526814314679114659,13.87957268224765883247 51.01503974578677258478,13.87993616631277937756 51.02402364938014756035,13.86569094205469632186 51.024252092950490578,13.86533020545978622806 51.01526814314679114659))"
221017;"1";"LFT";0;"NO2";"2011";13.17;2013-06-25;"SRID=4326;POLYGON((13.89381496154762452022 51.01480968609651966972,13.90805699824572627676 51.01457788549663519007,13.90842586296555616343 51.02356168765660271447,13.8941811444232463657 51.02379354516676102094,13.89381496154762452022 51.01480968609651966972))"
221019;"1";"LFT";0;"NO2";"2011";12.83;2013-06-25;"SRID=4326;POLYGON((13.92229881713901207263 51.01434425888035661956,13.9365405284981864753 51.01410890625921012997,13.93691502101568246985 51.02309262417641377851,13.92267052417712491774 51.02332802575923409449,13.92229881713901207263 51.01434425888035661956))"
