"objectid";"code";"typ";"katnam";"desk1";"desk3";"deskn1";"aend";"shape"
233415;"1";"LFT";0;"PM10";"2013";24.61;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.78056015035599024543 51.03457107528937086727,13.79480930430846363777 51.03435300472447977427,13.79515664615431091988 51.04333744445435172565,13.78090476583208179306 51.04355548450789825665,13.78056015035599024543 51.03457107528937086727))"
233416;"1";"LFT";0;"PM10";"2013";22.6;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.79480930430846363777 51.03435300472447977427,13.8090581952598938642 51.03413324799412009725,13.80940822475069396091 51.04311755542514816852,13.79515664615431091988 51.04333744445435172565,13.79480930430846363777 51.03435300472447977427))"
233417;"1";"LFT";0;"PM10";"2013";22.06;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.8090581952598938642 51.03413324799412009725,13.82330682867777582601 51.03391153547354264219,13.82365968846497317202 51.04289570251442853532,13.80940822475069396091 51.04311755542514816852,13.8090581952598938642 51.03413324799412009725))"
233418;"1";"LFT";0;"PM10";"2013";21.68;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.82330682867777582601 51.03391153547354264219,13.83755535462049301998 51.03368807559469644275,13.83791096850748481017 51.04267228976685544239,13.82365968846497317202 51.04289570251442853532,13.82330682867777582601 51.03391153547354264219))"
233419;"1";"LFT";0;"PM10";"2013";19.41;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.83755535462049301998 51.03368807559469644275,13.85180368322661159652 51.03346298442946959995,13.85216202440084387604 51.04244717297537192735,13.83791096850748481017 51.04267228976685544239,13.83755535462049301998 51.03368807559469644275))"
233411;"1";"LFT";0;"PM10";"2013";24.89;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.72356200935957737386 51.0354262090778618699,13.73781188301096101156 51.03521506036920385441,13.73814848353665496461 51.04419961936408611791,13.72389562126267570363 51.04441092138946345358,13.72356200935957737386 51.0354262090778618699))"
233412;"1";"LFT";0;"PM10";"2013";24.83;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.73781188301096101156 51.03521506036920385441,13.75206153136802988968 51.03500209066042714312,13.7524008993973687609 51.04398675416327080256,13.73814848353665496461 51.04419961936408611791,13.73781188301096101156 51.03521506036920385441))"
233413;"1";"LFT";0;"PM10";"2013";19.92;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.75206153136802988968 51.03500209066042714312,13.76631092036636694331 51.03478745256408899422,13.76665320229008138142 51.04377207767922186576,13.7524008993973687609 51.04398675416327080256,13.75206153136802988968 51.03500209066042714312))"
233414;"1";"LFT";0;"PM10";"2013";22.9;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.76631092036636694331 51.03478745256408899422,13.78056015035599024543 51.03457107528937086727,13.78090476583208179306 51.04355548450789825665,13.76665320229008138142 51.04377207767922186576,13.76631092036636694331 51.03478745256408899422))"
233420;"1";"LFT";0;"PM10";"2013";18.37;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.85180368322661159652 51.03346298442946959995,13.86605185859137634452 51.03323615457242112825,13.8664129995719367372 51.042220263693650395,13.85216202440084387604 51.04244717297537192735,13.85180368322661159652 51.03346298442946959995))"
233421;"1";"LFT";0;"PM10";"2013";18.23;2016-01-29 10:10:40;"SRID=4326;POLYGON((13.86605185859137634452 51.03323615457242112825,13.88029982031742548543 51.03300766644438368758,13.88066371860430869845 51.04199167718577001551,13.8664129995719367372 51.042220263693650395,13.86605185859137634452 51.03323615457242112825))"
